==================== Evaluating with noise_std = 1.1 in Dataset 1 with random state = 6 ====================
ODS is enabled
mse 1.1954882531886288
Splitting data into training and validation set
Not whitening the data...
Set parameter TokenServer to value "license1.computecanada.ca"
Set parameter Threads to value 16
Read parameters from file gurobi.env
Set parameter MIPGap to value 0.05
Set parameter TimeLimit to value 18000
using QPBO:
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "AlmaLinux 9.3 (Shamrock Pampas Cat)")

CPU model: Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 32 physical cores, 32 logical processors, using up to 16 threads

Optimize a model with 72 rows, 216 columns and 216 nonzeros
Model fingerprint: 0x215dbcee
Model has 7884 quadratic objective terms
Variable types: 0 continuous, 216 integer (216 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [0e+00, 0e+00]
  QObjective range [1e-03, 5e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 1387.7999143
Presolve time: 0.06s
Presolved: 72 rows, 216 columns, 216 nonzeros
Presolved model has 7884 quadratic objective terms
Variable types: 0 continuous, 216 integer (216 binary)
Found heuristic solution: objective 5089.6993927

Root relaxation: objective 8.976267e+03, 303 iterations, 0.03 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 4999839 2286322 6884.49051   45  139 6355.98801 6999.75730  10.1%   4.9  645s
 5040277 2302062     cutoff   47      6355.98801 6998.74402  10.1%   4.9  650s
 5080778 2318406     cutoff   54      6355.98801 6997.80674  10.1%   4.9  655s
 5121474 2333913 6685.03809   49  140 6355.98801 6996.85370  10.1%   4.9  660s
 5159480 2349013     cutoff   50      6355.98801 6995.98296  10.1%   4.9  665s
 5196504 2363829 6725.58017   46  145 6355.98801 6995.11123  10.1%   4.9  670s
 5237639 2380158 6497.20812   52  131 6355.98801 6994.09503  10.0%   4.9  675s
 5276133 2395605 6415.56596   52  135 6355.98801 6993.15861  10.0%   4.9  680s
 5319232 2412417 6605.13949   52  144 6355.98801 6992.14834  10.0%   4.9  685s
 5360098 2428181 6803.18284   44  151 6355.98801 6991.19316  10.0%   4.8  690s
 5400549 2444206 6376.18566   59  130 6355.98801 6990.24753  10.0%   4.8  695s
 5440810 2460822 6805.02586   50  136 6355.98801 6989.31899  10.0%   4.8  700s
 5478535 2476240 6541.30807   45  149 6355.98801 6988.45477  10.0%   4.8  705s
 5518043 2492161 6705.41433   50  141 6355.98801 6987.59014  9.94%   4.8  710s
 5558610 2507245 6381.81920   60  118 6355.98801 6986.68377  9.92%   4.8  715s
 5599015 2523693 6940.03919   45  149 6355.98801 6985.74624  9.91%   4.8  720s
 5641860 2540951 6678.20671   51  150 6355.98801 6984.71484  9.89%   4.8  725s
 5682398 2556962 6403.22407   50  147 6355.98801 6983.77719  9.88%   4.8  730s
 5717397 2571034     cutoff   47      6355.98801 6983.02051  9.87%   4.8  735s
 5758090 2587062 6675.14938   51  146 6355.98801 6982.18388  9.85%   4.8  740s
 5798430 2602536     cutoff   61      6355.98801 6981.32492  9.84%   4.8  745s
 5841452 2620090 6559.86077   58  121 6355.98801 6980.36794  9.82%   4.8  750s
 5881167 2635992 6546.46416   49  140 6355.98801 6979.53422  9.81%   4.8  755s
 5917287 2650108 6420.54947   51  151 6355.98801 6978.73943  9.80%   4.8  760s
 5955780 2664802 6787.22149   45  146 6355.98801 6977.99759  9.79%   4.8  765s
 5996622 2680816 6381.40322   53  149 6355.98801 6977.14782  9.77%   4.8  770s
 6037867 2697376     cutoff   53      6355.98801 6976.25334  9.76%   4.8  775s
 6076879 2711750 6744.36897   49  154 6355.98801 6975.46371  9.75%   4.8  780s
 6117383 2727407 6365.88188   68   91 6355.98801 6974.62633  9.73%   4.8  785s
 6158266 2743200 6409.53590   56  138 6355.98801 6973.80580  9.72%   4.8  790s
 6193888 2756879 6933.81029   44  139 6355.98801 6973.11738  9.71%   4.8  795s
 6234789 2772383 6405.19808   53  125 6355.98801 6972.25079  9.70%   4.8  800s
 6275470 2788178 6740.41092   51  147 6355.98801 6971.41263  9.68%   4.8  805s
